Saturn fpa (deg),Saturn v1 max,Saturn v1x max,Saturn v1y max,Titan max fpa,Titan v1 max magnitude,Titan v1x max,Titan v1y max,vp max,rp max,max semimajor axis,max eccentricity,max energy,max momentum,Saturn v1 min,Saturn v1x min,Saturn v1y min,Titan min fpa,Titan v1 min magnitude,Titan v1x min,Titan v1y min,vp min,rp min,min semimajor axis,min eccentricity,min energy,min momentum
1.0,3.230000000000101,0.0563712727924275,3.2295080553552444,178.6202850640123,2.341170703588961,0.0563712727924275,-2.340491944644756,16.35059962207799,237019.4216726695,719418.9998532999,0.6705405032102277,-26.362245094815876,3875409.6664262936,1.8600000000001269,0.03246147597334954,1.8597167129910146,179.49872881064587,3.7104252879259776,0.03246147597334954,-3.710283287008986,32.14191246271987,69431.46454578992,637340.6420025715,0.8910606668238964,-29.75724243853176,2231660.0555892177
2.0,3.230000000000101,0.11272537434908164,3.22803237127178,177.24432255720896,2.344678951164321,0.11272537434908164,-2.34196762872822,16.361751501729664,236749.64413905435,719420.1806503051,0.6709160369604181,-26.362201825998994,3873638.845526136,1.8600000000001269,0.06491306386665623,1.8588669382556449,178.9979164581316,3.7117007298316214,0.06491306386665623,-3.7111330617443556,32.158410222060915,69364.13555594666,637343.336849302,0.8911667675089423,-29.757116617482325,2230640.325906774
3.0,3.230000000000101,0.16904513866471385,3.2255733972573744,175.87581902638533,2.3505132108868274,0.16904513866471385,-2.344426602742626,16.380348555945552,236300.7150604198,719422.1515657878,0.6715409519346567,-26.362129604603496,3870688.076708849,1.8600000000001269,0.09734487861188218,1.857450934643634,178.4980203795501,3.713825061586826,0.09734487861188218,-3.712549065356366,32.18593212751045,69252.0295122106,637347.8355771414,0.8913434303114869,-29.756906576494544,2228941.121572361
4.0,3.2400000000001006,0.226010974930973,3.2321075228419307,174.47820660939584,2.348791645834416,0.226010974930973,-2.3378924771580696,16.335908769786727,237423.52397215014,720301.1398070328,0.6703829678296005,-26.329959723624512,3878529.0274103167,1.870000000000127,0.13044460590152318,1.8654447739859978,177.98333719116167,3.706851118914335,0.13044460590152318,-3.7045552260140022,32.03230788541303,69883.62302182376,637722.3531295416,0.8904168519750347,-29.739431128498495,2238533.7287831972
5.0,3.2400000000001006,0.2823846065024212,3.2276708218173558,173.1257576347315,2.3592895212235634,0.2823846065024212,-2.3423291781826445,16.369407565896132,236612.41071730814,720304.694718517,0.6715106642338735,-26.329829777676792,3873204.986180827,1.870000000000127,0.16298123893813182,1.8628840854316906,177.48264477238425,3.710696873673656,0.16298123893813182,-3.70711591456831,32.08177802872419,69680.08133827636,637730.4202081253,0.8907374038774314,-29.739054934545152,2235460.902518029
6.0,3.2500000000001004,0.3397175056198843,3.232196159946988,171.7319480669417,2.3623578852898657,0.3397175056198843,-2.337803840053012,16.340189840715723,237367.82924466295,721190.2044638334,0.670866537321963,-26.297500829340635,3878635.391936386,1.870000000000127,0.19546822631052527,1.8597559443387972,176.98425227699104,3.715389452004497,0.19546822631052527,-3.710244055661203,32.14238288170545,69431.91304204089,637740.3202661624,0.8911282369396633,-29.738593275841026,2231707.1332065566
7.0,3.2600000000001,0.397294059500793,3.235700454350809,170.34090657688216,2.3678675931167774,0.397294059500793,-2.3342995456491913,16.318758258193633,237937.25501579756,722081.4766445815,0.6704842005898546,-26.26504156861938,3882840.5452209706,1.880000000000127,0.2291143656016927,1.8659867650858113,176.46043859882352,3.711092485636075,0.2291143656016927,-3.704013234914189,32.0230967870216,69924.03429922104,638123.077429777,0.8904223389305085,-29.720755557672305,2239184.1181029733
8.0,3.2600000000001,0.4537043091298273,3.2282739040976187,169.03492410116795,2.385273298461454,0.4537043091298273,-2.3417260959023816,16.374734887354727,236579.6277965243,722087.4441793207,0.672367066200125,-26.264824506891955,3873928.684917142,1.880000000000127,0.2616454298049407,1.861703969234278,175.96408266322882,3.7175150010094944,0.2616454298049407,-3.7082960307657222,32.10585928866975,69583.70878643745,638136.5936970505,0.8909579712655193,-29.720126047188728,2234044.7630811334
9.0,3.2700000000001,0.5115407006815705,3.229740873746199,167.67004821794885,2.3955138627167236,0.5115407006815705,-2.3402591262538013,16.3686291736027,236775.42006667677,722985.3267296721,0.67250314589689,-26.232205964383695,3875689.0484954393,1.890000000000127,0.2956611389260562,1.8667309637249356,175.43530873425564,3.715052767337861,0.2956611389260562,-3.7032690362750644,32.01000225782169,69980.53728417207,638525.8213783219,0.8904029642323438,-29.702009480307424,2240077.156469923
10.0,3.2800000000000997,0.5695660227475488,3.2301694298801404,166.31902835073777,2.408155425037157,0.5695660227475488,-2.33983057011986,16.37037510640539,236781.5820139326,723889.0498231977,0.6729034897381525,-26.19945695356509,3876203.3158561685,1.890000000000127,0.3281950557905204,1.8612866531931982,174.94289962399233,3.7232065056115613,0.3281950557905204,-3.7087133468068023,32.11518865428916,69547.901707049,638543.020559257,0.8910834517521832,-29.70120945553424,2233543.983831838
11.0,3.2900000000000995,0.6277615947888514,3.2295534335429124,164.98536398722746,2.42317451916543,0.6277615947888514,-2.340446566457088,16.380004329291644,236597.2586051868,724798.6525833016,0.6735682968478001,-26.166577341726338,3875464.1202514945,1.900000000000127,0.36253709121545935,1.865091648550686,174.41121801756697,3.7226037977665367,0.36253709121545935,-3.704908351449314,32.04287014395292,69847.36286749881,638938.7416743592,0.890682223018029,-29.682814271522034,2238109.9782608235
