intercept location (deg),v_infinity wrt Titian magnitude (km/s),v_infinity x component,v_infinity y component,v_infinity z component
0,15.228557352578859,0.0,15.037504079594727,2.404668396464586
1,15.228029936739402,0.09720990385566916,15.036655741615828,2.404668396464586
2,15.22644774028425,0.19439019663293042,15.03411098609109,2.404668396464586
3,15.223810916407206,0.2915112762731972,15.029870588177705,2.404668396464586
4,15.220119720444988,0.388543558754778,15.023935839541949,2.404668396464586
5,15.215374509897893,0.485457487104456,15.01630854796575,2.404668396464586
6,15.209575744458757,0.5822235404008299,15.006991036796009,2.404668396464586
7,15.202723986050337,0.6788122427666715,14.995986144236891,2.404668396464586
8,15.194819898871197,0.7751941723475645,14.983297222485273,2.404668396464586
9,15.185864249450226,0.8713399702740859,14.968928136709645,2.404668396464586
10,15.175857906709929,0.967220349604802,14.952883263872726,2.404668396464586
11,15.164801842038658,1.0628061042473547,14.935167491398216,2.404668396464586
12,15.152697129371969,1.1580681178549197,14.915786215682026,2.404668396464586
13,15.139544945283328,1.2529773726953282,14.894745340448488,2.404668396464586
14,15.125346569084403,1.3475049584901493,14.872051274952028,2.404668396464586
15,15.110103382935193,1.4416220812210405,14.847710932024839,2.404668396464586
16,15.093816871964293,1.5353000719006855,14.821731725971164,2.404668396464586
17,15.076488624399623,1.628510395305644,14.794121570308835,2.404668396464586
18,15.05812033170993,1.721224658668457,14.764888875358732,2.404668396464586
19,15.038713788757448,1.8134146203263628,14.734042545682922,2.404668396464586
20,15.018270893962137,1.9050521983239748,14.701591977372237,2.404668396464586
21,14.996793649477867,1.9961094789673226,14.66754705518414,2.404668396464586
22,14.974284161381084,2.08655872532663,14.631918149531733,2.404668396464586
23,14.95074463987236,2.176372385685255,14.594716113324822,2.404668396464586
24,14.926177399491412,2.265523101932207,14.555952278664014,2.404668396464586
25,14.90058485934613,2.353983717895696,14.515638453388867,2.404668396464586
26,14.873969543356164,2.4417272876151612,14.473786917481089,2.404668396464586
27,14.84633408051173,2.5287270835492754,14.430410419323938,2.404668396464586
28,14.817681205148308,2.614956604717412,14.385522171818952,2.404668396464586
29,14.788013757237898,2.7003895847720973,14.339135848361162,2.404668396464586
30,14.757334682697595,2.7849999999999997,14.29126557867405,2.404668396464586
31,14.725647033716251,2.8687620772490017,14.241925944505493,2.404668396464586
32,14.692953969100103,2.9516503017789515,14.191131975186021,2.404668396464586
33,14.659258754638152,3.033639425033701,14.13889914305074,2.404668396464586
34,14.624564763488332,3.1147044723320603,14.08524335872631,2.404668396464586
35,14.588875476585324,3.1948207504753268,14.030180966284412,2.404668396464586
36,14.552194483071146,3.2739638552690757,13.973728738263183,2.404668396464586
37,14.514525480749532,3.352109678956909,13.915903870558148,2.404668396464586
38,14.475872276565276,3.429234417563917,13.856723977184169,2.404668396464586
39,14.436238787109751,3.5053145781475945,13.796207084910055,2.404668396464586
40,14.395629039153837,3.5803269859540237,13.734371627767434,2.404668396464586
41,14.354047170209641,3.6542487914771256,13.671236441435568,2.404668396464586
42,14.311497429122358,3.7270574774188407,13.606820757503813,2.404668396464586
43,14.267984176693828,3.7987308655481167,13.541144197613507,2.404668396464586
44,14.223511886339276,3.869247123456615,13.474226767481014,2.404668396464586
45,14.178085144778946,3.93858477120907,13.406088850803798,2.404668396464586
46,14.131708652766292,4.006722687886287,13.336751203051342,2.404668396464586
47,14.08438722585462,4.07364011801878,13.266234945142845,2.404668396464586
48,14.036125795204038,4.139316677909086,13.194561557013568,2.404668396464586
49,13.986929408430784,4.20373236184084,13.121752871071852,2.404668396464586
50,13.936803230501033,4.266867548172708,13.047831065548753,2.404668396464586
51,13.885752544671421,4.328703005315328,12.972818657742323,2.404668396464586
52,13.833782753478689,4.389219897589442,12.896738497158644,2.404668396464586
53,13.780899379780891,4.448399790963421,12.819613758551636,2.404668396464586
54,13.727108067852807,4.506224658668457,12.741467934863802,2.404668396464586
55,13.67241458453833,4.562676886689685,12.662324830070053,2.404668396464586
56,13.616824820462726,4.617739279131583,12.582208551926787,2.404668396464586
57,13.560344791307863,4.671395063456012,12.501143504628429,2.404668396464586
58,13.502980639153593,4.723627895591293,12.419154381373678,2.404668396464586
59,13.444738633888779,4.774421864910766,12.33626615684373,2.404668396464586
60,13.385625174695464,4.823761499079323,12.252504079594727,2.404668396464586
61,13.32564679161009,4.871631768766434,12.167893664366826,2.404668396464586
62,13.264810147165653,4.918018092224223,12.082460684312139,2.404668396464586
63,13.203122038119139,4.962906339729209,11.996231163144003,2.404668396464586
64,13.140589397268563,5.006282837886361,11.90923136720989,2.404668396464586
65,13.077219295364458,5.048134373794141,11.821487797490423,2.404668396464586
66,13.01301894312065,5.088448199069287,11.733027181526934,2.404668396464586
67,12.947995693329654,5.1272120337300935,11.643876465279982,2.404668396464586
68,12.882157043088165,5.164414069937006,11.554062804921356,2.404668396464586
69,12.815510636138539,5.2000429755894135,11.46361355856205,2.404668396464586
70,12.74806426533239,5.23408789777751,11.372556277918703,2.404668396464586
71,12.679825875222871,5.266538466088194,11.28091869992109,2.404668396464586
72,12.61080356479252,5.297384795764005,11.188728738263185,2.404668396464586
73,12.54100559032391,5.326617490714107,11.096014474900372,2.404668396464586
74,12.470440368420917,5.354227646376437,11.002804151495413,2.404668396464586
75,12.399116479188606,5.380206852430111,10.909126160815768,2.404668396464586
76,12.327042669580468,5.404547195357301,10.815009038084876,2.404668396464586
77,12.254227856922041,5.42724126085376,10.720481452290056,2.404668396464586
78,12.18068113262056,5.448282136087298,10.625572197449648,2.404668396464586
79,12.106411766070837,5.467663411803489,10.530310183842083,2.404668396464586
