intercept location (deg),v_infinity wrt Titian magnitude (km/s),v_infinity x component,v_infinity y component,v_infinity z component
0,15.425984763239956,0.0,15.329694000144785,1.7208973756840507
1,15.425448028421922,0.09720990385566916,15.328845662165886,1.7208973756840507
2,15.423837875415202,0.19439019663293042,15.326300906641148,1.7208973756840507
3,15.421154458565855,0.2915112762731972,15.322060508727763,1.7208973756840507
4,15.417398035130313,0.388543558754778,15.316125760092007,1.7208973756840507
5,15.412568965294945,0.485457487104456,15.308498468515808,1.7208973756840507
6,15.406667712203493,0.5822235404008299,15.299180957346067,1.7208973756840507
7,15.39969484199251,0.6788122427666715,15.28817606478695,1.7208973756840507
8,15.391651023834823,0.7751941723475645,15.275487143035331,1.7208973756840507
9,15.382537029991237,0.8713399702740859,15.261118057259702,1.7208973756840507
10,15.372353735870526,0.967220349604802,15.245073184422784,1.7208973756840507
11,15.36110212009795,1.0628061042473547,15.227357411948274,1.7208973756840507
12,15.348783264592436,1.1580681178549197,15.207976136232084,1.7208973756840507
13,15.335398354652666,1.2529773726953282,15.186935260998546,1.7208973756840507
14,15.320948679052297,1.3475049584901493,15.164241195502086,1.7208973756840507
15,15.305435630144554,1.4416220812210405,15.139900852574897,1.7208973756840507
16,15.288860703976516,1.5353000719006855,15.113921646521222,1.7208973756840507
17,15.27122550041338,1.628510395305644,15.086311490858893,1.7208973756840507
18,15.252531723273048,1.721224658668457,15.05707879590879,1.7208973756840507
19,15.232781180471402,1.8134146203263628,15.02623246623298,1.7208973756840507
20,15.211975784178646,1.9050521983239748,14.993781897922295,1.7208973756840507
21,15.190117550987168,1.9961094789673226,14.959736975734199,1.7208973756840507
22,15.167208602091335,2.08655872532663,14.924108070081791,1.7208973756840507
23,15.14325116347972,2.176372385685255,14.88690603387488,1.7208973756840507
24,15.11824756614028,2.265523101932207,14.848142199214072,1.7208973756840507
25,15.092200246279036,2.353983717895696,14.807828373938925,1.7208973756840507
26,15.065111745552805,2.4417272876151612,14.765976838031147,1.7208973756840507
27,15.036984711316618,2.5287270835492754,14.722600339873996,1.7208973756840507
28,15.007821896886533,2.614956604717412,14.67771209236901,1.7208973756840507
29,14.977626161818414,2.7003895847720973,14.63132576891122,1.7208973756840507
30,14.946400472203537,2.7849999999999997,14.583455499224108,1.7208973756840507
31,14.91414790098173,2.8687620772490017,14.53411586505555,1.7208973756840507
32,14.88087162827286,2.9516503017789515,14.48332189573608,1.7208973756840507
33,14.84657494172759,3.033639425033701,14.431089063600798,1.7208973756840507
34,14.811261236898266,3.1147044723320603,14.377433279276367,1.7208973756840507
35,14.774934017630928,3.1948207504753268,14.32237088683447,1.7208973756840507
36,14.737596896479438,3.2739638552690757,14.265918658813241,1.7208973756840507
37,14.699253595142864,3.352109678956909,14.208093791108206,1.7208973756840507
38,14.659907944927141,3.429234417563917,14.148913897734227,1.7208973756840507
39,14.619563887232333,3.5053145781475945,14.088397005460113,1.7208973756840507
40,14.578225474066645,3.5803269859540237,14.026561548317492,1.7208973756840507
41,14.535896868588583,3.6542487914771256,13.963426361985626,1.7208973756840507
42,14.492582345678615,3.7270574774188407,13.899010678053871,1.7208973756840507
43,14.448286292541836,3.7987308655481167,13.833334118163565,1.7208973756840507
44,14.403013209343172,3.869247123456615,13.766416688031072,1.7208973756840507
45,14.356767709876758,3.93858477120907,13.698278771353856,1.7208973756840507
46,14.309554522271208,4.006722687886287,13.6289411236014,1.7208973756840507
47,14.261378489732609,4.07364011801878,13.558424865692903,1.7208973756840507
48,14.21224457132712,4.139316677909086,13.486751477563626,1.7208973756840507
49,14.162157842805227,4.20373236184084,13.41394279162191,1.7208973756840507
50,14.111123497469729,4.266867548172708,13.34002098609881,1.7208973756840507
51,14.059146847089714,4.328703005315328,13.265008578292381,1.7208973756840507
52,14.006233322862913,4.389219897589442,13.188928417708702,1.7208973756840507
53,13.952388476428844,4.448399790963421,13.111803679101694,1.7208973756840507
54,13.897617980935415,4.506224658668457,13.03365785541386,1.7208973756840507
55,13.841927632161735,4.562676886689685,12.954514750620111,1.7208973756840507
56,13.785323349700036,4.617739279131583,12.874398472476845,1.7208973756840507
57,13.72781117819977,4.671395063456012,12.793333425178487,1.7208973756840507
58,13.669397288677123,4.723627895591293,12.711344301923736,1.7208973756840507
59,13.610087979893382,4.774421864910766,12.628456077393787,1.7208973756840507
60,13.549889679805693,4.823761499079323,12.544694000144785,1.7208973756840507
61,13.4888089470941,4.871631768766434,12.460083584916884,1.7208973756840507
62,13.42685247276879,4.918018092224223,12.374650604862197,1.7208973756840507
63,13.364027081861865,4.962906339729209,12.288421083694061,1.7208973756840507
64,13.30033973520802,5.006282837886361,12.201421287759947,1.7208973756840507
65,13.235797531318944,5.048134373794141,12.113677718040481,1.7208973756840507
66,13.170407708356363,5.088448199069287,12.025217102076992,1.7208973756840507
67,13.10417764620904,5.1272120337300935,11.93606638583004,1.7208973756840507
68,13.037114868679284,5.164414069937006,11.846252725471414,1.7208973756840507
69,12.969227045784857,5.2000429755894135,11.755803479112108,1.7208973756840507
70,12.900521996182505,5.23408789777751,11.66474619846876,1.7208973756840507
71,12.831007689719714,5.266538466088194,11.573108620471148,1.7208973756840507
72,12.76069225012162,5.297384795764005,11.480918658813243,1.7208973756840507
73,12.689583957820453,5.326617490714107,11.38820439545043,1.7208973756840507
74,12.617691252935314,5.354227646376437,11.294994072045471,1.7208973756840507
75,12.545022738410514,5.380206852430111,11.201316081365826,1.7208973756840507
76,12.471587183321203,5.404547195357301,11.107198958634934,1.7208973756840507
